"filename", "language", "Java", "comment", "blank", "total"
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Recursion\5. Backtracking, Maze\NQueen.java", "Java", 52, 4, 9, 65
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Recursion\5. Backtracking, Maze\Sudoku.java", "Java", 66, 4, 7, 77
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Recursion\QuestionsRecursion.java", "Java", 72, 14, 15, 101
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Sliding Window\SlidingWindow.java", "Java", 758, 167, 135, 1060
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\CircularQueues.java", "Java", 79, 1, 11, 91
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\CustomQueues.java", "Java", 52, 4, 10, 66
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\DynamicQueues.java", "Java", 23, 0, 7, 30
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\DynamicStacks.java", "Java", 19, 1, 4, 24
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\Questions.java", "Java", 515, 112, 85, 712
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\StackException.java", "Java", 5, 0, 1, 6
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Stacks & Queues\Stacks.java", "Java", 58, 26, 15, 99
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\AVL.java", "Java", 204, 51, 48, 303
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\BinarySearchTree.java", "Java", 75, 16, 24, 115
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\Questions.java", "Java", 449, 37, 77, 563
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\QuestionsDFS.java", "Java", 896, 125, 144, 1165
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\SegmentTree.java", "Java", 74, 22, 19, 115
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trees\Tree.java", "Java", 71, 63, 18, 152
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\Trie\CustomTrie.java", "Java", 107, 3, 21, 131
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\linked list\CLL.java", "Java", 65, 5, 17, 87
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\linked list\DLL.java", "Java", 99, 10, 14, 123
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\linked list\LL.java", "Java", 862, 163, 122, 1147
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\linked list\LL2.java", "Java", 189, 10, 46, 245
"c:\Users\Abdul Raffay\OneDrive - Higher Education Commission\Desktop\DSA\linked list\Recursion.java", "Java", 70, 0, 16, 86
"Total", "-", 7454, 1390, 1367, 10211
